year;director;genre;film;winner
1963;Robert Mulligan;;To Kill a Mockingbird;FALSE
1964;Elia Kazan;;America America;FALSE
1964;Otto Preminger;;The Cardinal;FALSE
1964;Federico Fellini;;Federico Fellini's 8-1/2;FALSE
1964;Martin Ritt;;Hud;FALSE
1964;Tony Richardson;;Tom Jones;TRUE
1965;Peter Glenville;;Becket;FALSE
1965;Stanley Kubrick;;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;FALSE
1965;Robert Stevenson;;Mary Poppins;FALSE
1965;George Cukor;;My Fair Lady;TRUE
1965;Michael Cacoyannis;;Zorba the Greek;FALSE
1966;William Wyler;;The Collector;FALSE
1966;John Schlesinger;;Darling;FALSE
1966;David Lean;;Doctor Zhivago;FALSE
1966;Robert Wise;;The Sound of Music;TRUE
1966;Hiroshi Teshigahara;;Woman in the Dunes;FALSE
1967;Michelangelo Antonioni;;Blow-Up;FALSE
1967;Claude Lelouch;;A Man and a Woman;FALSE
1967;Fred Zinnemann;;A Man for All Seasons;TRUE
1967;Richard Brooks;;The Professionals;FALSE
1967;Mike Nichols;;Who's Afraid of Virginia Woolf?;FALSE
1968;Arthur Penn;;Bonnie and Clyde;FALSE
1968;Mike Nichols;;The Graduate;TRUE
1968;Stanley Kramer;;Guess Who's Coming to Dinner;FALSE
1968;Richard Brooks;;In Cold Blood;FALSE
1968;Norman Jewison;;In the Heat of the Night;FALSE
1969;Gillo Pontecorvo;;The Battle of Algiers;FALSE
1969;Anthony Harvey;;The Lion in Winter;FALSE
1969;Carol Reed;;Oliver!;TRUE
1969;Franco Zeffirelli;;Romeo and Juliet;FALSE
1969;Stanley Kubrick;;2001: A Space Odyssey;FALSE
1970;Arthur Penn;;Alice's Restaurant;FALSE
1970;George Roy Hill;;Butch Cassidy and the Sundance Kid;FALSE
1970;John Schlesinger;;Midnight Cowboy;TRUE
1970;Sydney Pollack;;They Shoot Horses, Don't They?;FALSE
1970;Costa-Gavras;;Z;FALSE
1971;Federico Fellini;;Fellini Satyricon;FALSE
1971;Arthur Hiller;;Love Story;FALSE
1971;Robert Altman;;M*A*S*H;FALSE
1971;Franklin J. Schaffner;;Patton;TRUE
1971;Ken Russell;;Women in Love;FALSE
1972;Stanley Kubrick;;A Clockwork Orange;FALSE
1972;Norman Jewison;;Fiddler on the Roof;FALSE
1972;William Friedkin;;The French Connection;TRUE
1972;Peter Bogdanovich;;The Last Picture Show;FALSE
1972;John Schlesinger;;Sunday Bloody Sunday;FALSE
1973;Bob Fosse;;Cabaret;TRUE
1973;John Boorman;;Deliverance;FALSE
1973;Jan Troell;;The Emigrants;FALSE
1973;Francis Ford Coppola;;The Godfather;FALSE
1973;Joseph L. Mankiewicz;;Sleuth;FALSE
1974;George Lucas;;American Graffiti;FALSE
1974;Ingmar Bergman;;Cries and Whispers;FALSE
1974;William Friedkin;;The Exorcist;FALSE
1974;Bernardo Bertolucci;;Last Tango in Paris;FALSE
1974;George Roy Hill;;The Sting;TRUE
1975;Roman Polanski;;Chinatown;FALSE
1975;Francois Truffaut;;Day for Night;FALSE
1975;Francis Ford Coppola;;The Godfather Part II;TRUE
1975;Bob Fosse;;Lenny;FALSE
1975;John Cassavetes;;A Woman under the Influence;FALSE
